,song_name,class,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
11,02 Sugar Rush.mp3,happy,143.5546875,174619,1274.591241,0.446604724,0.297004317,0.088211564,0.603010186,0.245925688,0.060479444,0.276608813,0.082588727,0.006820898,19.6633691,107.0197021,11453.21663,5.647119831,32.86225513,1079.927812,-0.00101918,4.774379903,22.79470346,0.286769748,0.11053732,0.012218499,2805.048442,1166.238385,1360111.97,2646.784577,473.1831608,223902.3037,18.79897961,6.627226681,43.92013349,5774.615082,1951.32364,3807663.949,3.912030798,4.978231526,24.78278913,0.010783652,0.047833427,0.002288037,0.13880944,0.09866202,0.009734194,-3.25E-05,0.182563618,0.033329476,-0.000161516,0.186333016,0.034719992,2.527492063,1.407046389,1.979779542
12,No Way Out.mp3,sad,129.1992188,165440,1282.48062,0.327171814,0.306677208,0.09405091,0.359030504,0.294618696,0.086800176,0.213902528,0.193853145,0.037579042,8.753663539,62.1002337,3856.439025,-2.418082341,61.59217588,3793.59613,0.01321377,3.220447794,10.371284,0.179713398,0.071933344,0.005174406,1175.002489,789.124199,622717.0014,1657.295674,717.2046897,514382.567,24.40839239,6.685721442,44.6988712,2216.382431,1772.22156,3140769.259,1.532926118,1.935435608,3.745910993,0.009133989,0.114763217,0.013170596,0.040779988,0.035161513,0.001236332,-8.19E-06,0.175664052,0.030857857,2.97E-06,0.054673348,0.002989175,6.421478458,3.38753176,11.47537143
13,all of me.mp3,sad,123.046875,149011,1241.758333,0.22301276,0.296808193,0.088095104,0.392170881,0.28882404,0.083419326,0.233375853,0.169908931,0.028869045,9.488211704,64.47543004,4157.081078,-9.143643928,48.06704962,2310.441259,0.006407212,2.675401072,7.157770896,0.190895006,0.073919818,0.005464139,1732.783477,787.5844609,620289.283,2058.060102,622.3360528,387302.1626,25.26200452,6.485604139,42.06306105,3637.523838,1930.329128,3726170.542,1.71941165,2.019202917,4.077180422,0.002471445,0.103563575,0.010725414,0.067309306,0.041971364,0.001761595,-1.17E-05,0.188204423,0.035420902,-6.22E-05,0.047813639,0.002286144,6.178829932,3.248652563,10.55374348
14,Beautiful.mp3,relax,151.9990809,181162,1240.835616,0.293966577,0.293307513,0.086029297,0.340213757,0.289954476,0.084073598,0.208965905,0.199164715,0.039666584,6.431518088,33.51365142,1123.164832,0.590644047,56.13506917,3151.145991,0.011936214,2.343532646,5.492145263,0.161444381,0.05202378,0.002706473,1401.95847,824.1844706,679280.0417,1877.042362,632.3677799,399889.009,24.05415306,6.270978267,39.32516843,2726.946011,1683.812381,2835224.134,1.601080462,1.944335347,3.780439941,0.019265254,0.107402102,0.011535212,0.05834772,0.04813623,0.002317097,2.25E-06,0.150592789,0.022678189,7.58E-05,0.048800338,0.002381473,2.598312925,1.933176624,3.737171858
15,American Authors - Best Day Of My Life.mp3,happy,99.38401442,126240,1275.151515,0.379109145,0.294520768,0.086742483,0.592934519,0.244529584,0.059794718,0.273853327,0.091310944,0.008337689,22.51175777,120.059795,14414.35438,7.611761106,32.13394028,1032.590118,0.00923644,2.828115979,7.998239991,0.30962342,0.077622123,0.006025194,2136.410967,662.6046343,439044.9014,2381.684242,452.3694209,204638.093,19.92883315,7.228947084,52.25767594,4701.325738,1587.208829,2519231.866,3.85281792,4.382439695,19.20577768,-0.000782143,0.049031044,0.002404043,0.082779356,0.040181813,0.001614578,2.33E-06,0.247436374,0.061224762,0.000528998,0.124460384,0.015490387,2.34985941,1.372544856,1.883879381
16,Mary Jane (Album Version).mp3,sad,135.9991776,165736,1265.160305,0.397728785,0.288558155,0.083265809,0.439176869,0.271140443,0.07351714,0.24739768,0.148753894,0.022127721,12.22130042,65.6375168,4308.283612,3.022687463,27.3906187,750.245993,0.013178146,2.422645223,5.869209876,0.22209619,0.098083608,0.009620394,2986.162964,908.5549572,825472.1102,2781.936581,266.0084268,70760.48315,20.36019528,6.453587646,41.64879351,6295.524432,1196.678473,1432039.369,2.914835704,3.632358968,13.19403167,-0.00857774,0.081319612,0.006612879,0.13471555,0.085793083,0.007360453,-1.52E-05,0.193604618,0.037482746,-7.06E-05,0.092260748,0.008512045,2.739954649,1.629223613,2.654369581
17,The Drums - Down By The Water.mp3,angry,80.74951172,92775,1220.723684,0.262399723,0.301648852,0.09099203,0.42502922,0.286452078,0.082054793,0.232769947,0.17073806,0.029151485,11.38379504,70.85821277,5020.886317,-0.436422994,41.63783394,1733.709215,0.008281402,2.351485045,5.529481918,0.207559854,0.080686487,0.006510309,2139.844216,795.0954648,632176.7981,2543.547803,470.2967423,221179.0258,21.64825676,6.832446441,46.68232437,5113.760744,1728.43928,2987502.344,2.043824473,2.507698665,6.288552597,0.000211848,0.085302296,0.007276482,0.068469919,0.038120016,0.001453136,-3.44E-07,0.192405999,0.037020069,8.82E-06,0.06440296,0.004147741,7.072798186,3.952281843,15.62053177
18,Broken Things.mp3,sad,172.265625,218050,1282.647059,0.263052847,0.30072452,0.090435237,0.420125598,0.284988199,0.081218273,0.237378882,0.1642699,0.0269846,3.714748694,26.5384353,704.2885481,-6.817886405,55.18675631,3045.578072,0.009679483,2.502507649,6.262544535,0.116298288,0.059249386,0.00351049,1685.644599,844.9496855,713939.971,1962.645968,592.1767636,350673.3194,23.76674162,6.027068446,36.32555405,3352.66306,1838.996089,3381906.616,1.135074292,1.47217405,2.167296433,-0.00800846,0.085970484,0.007390924,0.070069871,0.049428282,0.002443155,-6.06E-06,0.115568943,0.01335618,-7.61E-05,0.03824247,0.001462486,3.408689342,2.203114877,4.853715161
19,Justin Timberlake - Not A Bad Thing.mp3,happy,86.1328125,107300,1277.380952,0.398108472,0.303136114,0.091891504,0.443194504,0.294026741,0.086451725,0.242252529,0.156993775,0.024647045,13.72377754,118.1066515,13949.18113,3.593711105,35.28490616,1245.024603,0.011911753,2.907954813,8.456201194,0.219738096,0.111307785,0.012389423,2136.047721,891.9791874,795626.8708,2423.550901,510.8223484,260939.4716,20.48161929,6.782121304,45.99716939,4567.07655,1959.705294,3840444.839,2.516230546,3.18861129,10.16724196,0.016026824,0.083189295,0.006920459,0.084916342,0.064074037,0.004105482,5.22E-06,0.164298385,0.026993958,4.95E-05,0.129800871,0.016848268,2.299936508,1.154138614,1.332035939
20,you are not alone.mp3,relax,129.1992188,156586,1252.688,0.243962978,0.306023926,0.093650643,0.415287766,0.283363139,0.080294669,0.237818879,0.163632253,0.026775514,1.686479523,18.92766806,358.2566182,-8.912453845,70.8317299,5017.133961,0.009674927,3.035070785,9.211654667,0.067891799,0.052563626,0.002762935,1880.763936,1153.957861,1331618.745,2241.643304,755.7187713,571110.8613,24.52975606,6.141862599,37.72247619,3815.739427,2516.645907,6333506.622,0.577930417,0.864622317,0.747571752,0.01718274,0.093458837,0.008734554,0.079066604,0.080250571,0.006440154,7.79E-07,0.074940756,0.005616117,-1.12E-06,0.025687793,0.000659863,2.625015873,1.30649082,1.706918264
